,0,1,2,3,4,5,6,7,8
37,2.1852272087020803e-33,7.637669443619406e-32,7.862375442487598e-31,2.383830431659443e-30,2.1287546979737905e-30,5.598945901438323e-31,4.3389808902154644e-32,1.0294004932876178e-33,3.3273277181384487e-35
38,1.2933022570347915e-37,4.5202691466510474e-36,4.653258876196817e-35,1.4108433505864895e-34,1.2598796039484386e-34,3.313665622752066e-35,2.5673745191881846e-36,5.95558922551357e-38,1.0547377810473517e-39
39,3.55556898345406e-42,1.242720229341121e-40,1.2792819963141819e-39,3.878714994943911e-39,3.463682811746434e-39,9.109977946922263e-40,7.057575207920142e-41,1.621539335965767e-42,1.8447277356591007e-44
40,4.540710566013174e-47,1.587040752753385e-45,1.633732689367981e-44,4.953390650361273e-44,4.423365472051318e-44,1.163407491749693e-44,9.012645132368977e-46,2.0623623443201668e-47,1.7905126784635567e-49
41,2.6936686284743783e-52,9.414742088605841e-51,9.691730905735205e-50,2.9384812806812597e-49,2.6240564357121895e-49,6.901637245046385e-50,5.346444778871787e-51,1.2213423059727712e-52,9.214534877199072e-55
42,7.422840935269961e-58,2.5943849303354325e-56,2.6707136928513713e-55,8.09746191756249e-55,7.231013238687235e-55,1.9018579780933904e-55,1.4732888764095027e-56,3.363172686249215e-58,2.3764923407352346e-60
43,9.501710132120025e-64,3.3209782877141962e-62,3.418683975131398e-61,1.0365268044575526e-60,9.256158434953949e-61,2.4344995161554904e-61,1.8858980282962447e-62,4.303768202438907e-64,2.954658862167723e-66
44,5.649877581900468e-70,1.974709869785114e-68,2.032807324378712e-67,6.163363725166999e-67,5.503868388134393e-67,1.4475945772912417e-67,1.1213854334203747e-68,2.5587671519867602e-70,1.7350823634406063e-72
45,1.560565263995982e-76,5.4543900900240185e-75,5.614862362654814e-74,1.7023964146897312e-73,1.5202357394745742e-73,3.998433184982323e-74,3.0974020027348285e-75,7.067249607795676e-77,4.7672339811046607e-79
46,2.00230610404938e-83,6.99833504121213e-82,7.204231339452509e-81,2.184284637936823e-80,1.950560717262242e-80,5.1302482116385265e-81,3.9741660795537585e-82,9.067534486425645e-84,6.1030612061612905e-86
47,1.193396182155101e-90,4.171083683326199e-89,4.293800113018443e-88,1.301857364556736e-87,1.1625553696872674e-87,3.05768364340869e-88,2.3686459167579788e-89,5.404298112617964e-91,3.6340874533865843e-93
