position 
"[0.051743961724853044, 0.048486037265293463]"
"[0.05173122628503784, 0.04846145198596757]"
"[0.051718490845222634, 0.04843686670664167]"
"[0.05170575540540743, 0.048412281427315774]"
"[0.051693019965592224, 0.04838769614798988]"
"[0.05168028452577702, 0.04836311086866398]"
"[0.051667549085961814, 0.048338525589338086]"
"[0.05165481364614661, 0.04831394031001219]"
"[0.051642078206331404, 0.04828935503068629]"
"[0.0516293427665162, 0.0482647697513604]"
"[0.051616607326700994, 0.0482401844720345]"
"[0.05160387188688579, 0.048215599192708604]"
"[0.051591136447070585, 0.04819101391338271]"
"[0.05157840100725538, 0.04816642863405681]"
"[0.051565665567440175, 0.048141843354730915]"
"[0.05155293012762497, 0.04811725807540502]"
"[0.051540194687809765, 0.04809267279607912]"
"[0.05152745924799456, 0.048068087516753226]"
"[0.051514723808179355, 0.04804350223742733]"
"[0.05150198836836415, 0.04801891695810143]"
"[0.051489252928548945, 0.04799433167877554]"
"[0.05147651748873374, 0.04796974639944964]"
"[0.051463782048918535, 0.047945161120123744]"
"[0.05145104660910333, 0.04792057584079785]"
"[0.051438311169288126, 0.04789599056147195]"
"[0.05142557572947292, 0.047871405282146055]"
"[0.051412840289657716, 0.04784682000282016]"
"[0.05140010484984251, 0.04782223472349426]"
"[0.051387369410027306, 0.047797649444168366]"
"[0.0513746339702121, 0.04777306416484247]"
"[0.051361898530396896, 0.047748478885516574]"
"[0.05134916309058169, 0.04772389360619068]"
"[0.051336427650766486, 0.04769930832686478]"
"[0.05132369221095128, 0.047674723047538885]"
"[0.051310956771136076, 0.04765013776821299]"
"[0.05129822133132087, 0.04762555248888709]"
"[0.05128548589150567, 0.047600967209561196]"
"[0.05127275045169046, 0.0475763819302353]"
"[0.05126001501187526, 0.0475517966509094]"
"[0.05124727957206005, 0.04752721137158351]"
"[0.05123454413224485, 0.04750262609225761]"
"[0.05122180869242964, 0.047478040812931714]"
"[0.05120907325261444, 0.04745345553360582]"
"[0.05119633781279923, 0.04742887025427992]"
"[0.05118360237298403, 0.047404284974954025]"
"[0.05117086693316882, 0.04737969969562813]"
"[0.05115813149335362, 0.04735511441630223]"
"[0.05114539605353841, 0.047330529136976336]"
"[0.05113266061372321, 0.04730594385765044]"
"[0.051119925173908, 0.047281358578324544]"
"[0.0511071897340928, 0.04725677329899865]"
"[0.05109445429427759, 0.04723218801967275]"
"[0.05108171885446239, 0.047207602740346855]"
"[0.05106898341464718, 0.04718301746102096]"
"[0.05105624797483198, 0.04715843218169506]"
"[0.05104351253501677, 0.047133846902369166]"
